tic
ABIO
ABRD
AFKS
AFLT
AGRO
AKRN
ALRS
AMEZ
APTK
AQUA
ASTR
BANE
BANEP
BELU
BLNG
BSPB
CARM
CBOM
CHMF
CHMK
CIAN
CNTL
CNTLP
DATA
DELI
DIAS
DVEC
ELFV
ENPG
ETLN
EUTR
FEES
FESH
FIXP
FLOT
GAZP
GCHE
GECO
GEMC
GLTR
GMKN
GRNT
GTRK
HEAD
HHRU
HNFG
HYDR
IRAO
IRKT
IVAT
KAZT
KAZTP
KLSB
KLVZ
KMAZ
KRKNP
KROT
KZIZ
KZIZP
KZOS
KZOSP
LEAS
LENT
LIFE
LKOH
LNZL
LNZLP
LSNG
LSNGP
LSRG
MAGN
MBNK
MDMG
MGKL
MGNT
MGTSP
MOEX
MRKC
MRKP
MRKS
MRKU
MRKV
MRKY
MRKZ
MSNG
MSRS
MSTT
MTLR
MTLRP
MTSS
MVID
NKHP
NKNC
NKNCP
NLMK
NMTP
NOMP
NOMPP
NSVZ
NTZL
NVTK
OBNE
OBNEP
OGKB
OKEY
ORUP
OZON
PHOR
PIKK
PLZL
PMSB
PMSBP
POLY
POSI
PRFN
PRMD
QIWI
RASP
RBCM
RENI
RKKE
RNFT
ROLO
ROSN
RTKM
RTKMP
RUAL
SBER
SBERP
SELG
SFIN
SFTL
SGZH
SIBN
SLAV
SMLT
SNGS
SNGSP
SOFL
SVAV
SVCB
TATN
TATNP
TCSG
TGKA
TGKB
TGKBP
TGKJ
TGKN
TRMK
TRNFP
TTLK
UDMN
UFOSP
UGLD
UNAC
UNKL
UPRO
UWGN
VEON-RX
VKCO
VRSB
VSEH
VSMO
VTBR
WUSH
YAKG
YDEX
ZAYM
ZILLP
